month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26361.375,4540,5.8061366
2020-01-01,Bronx,1,LCL/LTD,BX19,Peak,10587.52,2047,5.1712
2020-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10922.518,1714,6.369272
2020-01-01,Bronx,2,LCL/LTD,BX19,Peak,4108.286,675,6.0861816
2020-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23274,4100,5.6760387
2020-02-01,Bronx,1,LCL/LTD,BX19,Peak,9204.83,1839,5.0032873
2020-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11285.552,1824,6.185829
2020-02-01,Bronx,2,LCL/LTD,BX19,Peak,4211.892,712,5.913002
2020-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24350.652,4154,5.8605943
2020-03-01,Bronx,1,LCL/LTD,BX19,Peak,9984.63,1900,5.254969
2020-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11453.181,1795,6.3786025
2020-03-01,Bronx,2,LCL/LTD,BX19,Peak,4311.829,702,6.140972
2020-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,32756.773,5032,6.5088515
2020-04-01,Bronx,2,LCL/LTD,BX19,Peak,12463.181,2009,6.2013984
2020-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,20973.568,3299,6.3574276
2020-05-01,Bronx,1,LCL/LTD,BX19,Peak,7676.347,1281,5.9896135
2020-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,13794.882,2104,6.5563498
2020-05-01,Bronx,2,LCL/LTD,BX19,Peak,5014.236,799,6.2721395
2020-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,27712.03,4650,5.95857
2020-06-01,Bronx,1,LCL/LTD,BX19,Peak,11091.77,2055,5.396623
2020-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8971.393,1408,6.367497
2020-06-01,Bronx,2,LCL/LTD,BX19,Peak,3226.315,530,6.08387
2020-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26373.715,4488,5.8761716
2020-07-01,Bronx,1,LCL/LTD,BX19,Peak,10552.245,1979,5.331067
2020-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9924.164,1594,6.2226696
