month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,3493,34832.715,9.970491
2025-01-01,Bronx,1,SBS,BX12+,Peak,1917,17840.521,9.304856
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,927,9764.065,10.525683
2025-01-01,Bronx,2,SBS,BX12+,Peak,435,4544.999,10.425107
2025-02-01,Bronx,1,SBS,BX12+,Off-Peak,3058,29699.582,9.7119665
2025-02-01,Bronx,1,SBS,BX12+,Peak,1693,15160.359,8.95399
2025-02-01,Bronx,2,SBS,BX12+,Off-Peak,961,9558.738,9.946468
2025-02-01,Bronx,2,SBS,BX12+,Peak,456,4564.059,10.004014
2025-03-01,Bronx,1,SBS,BX12+,Off-Peak,3432,32598.805,9.496964
2025-03-01,Bronx,1,SBS,BX12+,Peak,1909,16795.709,8.797464
2025-03-01,Bronx,2,SBS,BX12+,Off-Peak,1235,11984.56,9.701136
2025-03-01,Bronx,2,SBS,BX12+,Peak,566,5528.271,9.751547
2025-04-01,Bronx,1,SBS,BX12+,Off-Peak,3436,32105.418,9.3419075
2025-04-01,Bronx,1,SBS,BX12+,Peak,1890,16618.186,8.792039
2025-04-01,Bronx,2,SBS,BX12+,Off-Peak,727,7152.566,9.829889
2025-04-01,Bronx,2,SBS,BX12+,Peak,325,3220.299,9.900574
2025-05-01,Bronx,1,SBS,BX12+,Off-Peak,3341,30824.822,9.223606
2025-05-01,Bronx,1,SBS,BX12+,Peak,1783,15011.718,8.418232
2025-05-01,Bronx,2,SBS,BX12+,Off-Peak,1203,11387.252,9.458863
2025-05-01,Bronx,2,SBS,BX12+,Peak,531,5160.723,9.710611
2025-06-01,Bronx,1,SBS,BX12+,Off-Peak,3076,28095.852,9.130962
2025-06-01,Bronx,1,SBS,BX12+,Peak,1687,14581.889,8.643657
2025-06-01,Bronx,2,SBS,BX12+,Off-Peak,1029,9888.385,9.608723
2025-06-01,Bronx,2,SBS,BX12+,Peak,485,4624.299,9.529272
2025-07-01,Bronx,1,SBS,BX12+,Off-Peak,3381,31404.162,9.28577
2025-07-01,Bronx,1,SBS,BX12+,Peak,1803,16083.971,8.920298
2025-07-01,Bronx,2,SBS,BX12+,Off-Peak,1092,10540.7705,9.6513405
2025-07-01,Bronx,2,SBS,BX12+,Peak,512,4974.25,9.697769
