month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Bronx,LCL/LTD,BX19,Off-Peak,428231.06,1.7480235,0.42672276,0.73439753
2020-01-01,Bronx,LCL/LTD,BX19,Peak,267270.25,1.7871348,0.5587441,0.7253313
2020-02-01,Bronx,LCL/LTD,BX19,Off-Peak,374458.12,1.9234523,0.7678537,0.7028518
2020-02-01,Bronx,LCL/LTD,BX19,Peak,233761.72,2.2387788,1.1059675,0.6704559
2020-03-01,Bronx,LCL/LTD,BX19,Off-Peak,197155.98,2.5903177,1.2274997,0.64916515
2020-03-01,Bronx,LCL/LTD,BX19,Peak,122530.63,2.5191138,1.3752272,0.6376515
2020-09-01,Bronx,LCL/LTD,BX19,Off-Peak,301670.28,1.7464566,0.32162243,0.7409448
2020-09-01,Bronx,LCL/LTD,BX19,Peak,163635.67,1.5411336,-0.1798052,0.78618413
2020-10-01,Bronx,LCL/LTD,BX19,Off-Peak,328516.4,1.501036,0.004134058,0.7666903
2020-10-01,Bronx,LCL/LTD,BX19,Peak,178880.8,1.4944552,-0.45673907,0.7994335
2020-11-01,Bronx,LCL/LTD,BX19,Off-Peak,292851.8,1.4248002,-0.03610598,0.7777767
2020-11-01,Bronx,LCL/LTD,BX19,Peak,159396.34,1.6262344,0.06303581,0.7861702
2020-12-01,Bronx,LCL/LTD,BX19,Off-Peak,315379.72,1.8461401,0.01885251,0.74735415
2020-12-01,Bronx,LCL/LTD,BX19,Peak,171667.02,1.9377666,-0.31842417,0.76881975
2021-01-01,Bronx,LCL/LTD,BX19,Off-Peak,280618.62,1.3692267,-0.3826361,0.80316645
2021-01-01,Bronx,LCL/LTD,BX19,Peak,152903.78,1.2660358,-0.79072547,0.8368604
2021-02-01,Bronx,LCL/LTD,BX19,Off-Peak,279228.72,2.304042,0.010014184,0.73754287
2021-02-01,Bronx,LCL/LTD,BX19,Peak,150549.7,2.2520642,-0.53424364,0.76277655
2021-03-01,Bronx,LCL/LTD,BX19,Off-Peak,313019.6,1.7042977,-0.23833275,0.7758099
2021-03-01,Bronx,LCL/LTD,BX19,Peak,196203.84,1.3557162,-0.6895486,0.82929313
2021-04-01,Bronx,LCL/LTD,BX19,Off-Peak,301527.94,1.9108037,0.2282283,0.73936975
2021-04-01,Bronx,LCL/LTD,BX19,Peak,188859.95,1.721105,-0.2279913,0.78047156
2021-05-01,Bronx,LCL/LTD,BX19,Off-Peak,265085.44,2.36423,0.571849,0.698975
2021-05-01,Bronx,LCL/LTD,BX19,Peak,170629.52,2.1528823,0.10146365,0.7492613
2021-06-01,Bronx,LCL/LTD,BX19,Off-Peak,286023.47,2.6955671,0.7353641,0.6706241
2021-06-01,Bronx,LCL/LTD,BX19,Peak,182539.72,2.6372974,0.14694227,0.709774
2021-07-01,Bronx,LCL/LTD,BX19,Off-Peak,260716.05,2.1614475,0.5438989,0.7050457
2021-07-01,Bronx,LCL/LTD,BX19,Peak,165598.8,1.9429479,0.17786068,0.7431035
2021-08-01,Bronx,LCL/LTD,BX19,Off-Peak,269334.47,2.1340604,0.508553,0.70709616
2021-08-01,Bronx,LCL/LTD,BX19,Peak,174835.4,1.9522585,0.13864408,0.74630797
2021-09-01,Bronx,LCL/LTD,BX19,Off-Peak,242584,3.0375612,1.218899,0.6402806
2021-09-01,Bronx,LCL/LTD,BX19,Peak,153244.67,3.5082915,1.9656454,0.5827202
2021-10-01,Bronx,LCL/LTD,BX19,Off-Peak,249466.06,2.4027927,0.9425111,0.6685276
2021-10-01,Bronx,LCL/LTD,BX19,Peak,160606.69,2.9748273,1.2635685,0.6281127
2021-11-01,Bronx,LCL/LTD,BX19,Off-Peak,250930.38,2.2753367,0.6783255,0.6835904
2021-11-01,Bronx,LCL/LTD,BX19,Peak,165613.19,2.4655743,0.9373477,0.66914684
2021-12-01,Bronx,LCL/LTD,BX19,Off-Peak,284514.28,2.3848069,0.4974008,0.69085217
2021-12-01,Bronx,LCL/LTD,BX19,Peak,189267.7,2.4077148,0.6026668,0.6874265
2022-01-01,Bronx,LCL/LTD,BX19,Off-Peak,242353.5,2.060964,0.00066615577,0.73798776
2022-01-01,Bronx,LCL/LTD,BX19,Peak,162407.31,2.2700028,0.07410934,0.7353691
2022-02-01,Bronx,LCL/LTD,BX19,Off-Peak,265878.4,1.7661527,0.30341923,0.73004866
2022-02-01,Bronx,LCL/LTD,BX19,Peak,176025.38,2.160498,0.7246919,0.7060355
2022-03-01,Bronx,LCL/LTD,BX19,Off-Peak,298949.97,2.0095115,0.70624703,0.70497125
2022-03-01,Bronx,LCL/LTD,BX19,Peak,194565.31,2.3418021,1.1154821,0.6723478
2022-04-01,Bronx,LCL/LTD,BX19,Off-Peak,268222.94,2.0727046,0.89734095,0.69682753
2022-04-01,Bronx,LCL/LTD,BX19,Peak,176230.12,2.1803598,0.7573373,0.70246345
2022-05-01,Bronx,LCL/LTD,BX19,Off-Peak,268884.9,2.3962529,1.2447839,0.65665895
2022-05-01,Bronx,LCL/LTD,BX19,Peak,175878.75,2.7548823,1.308077,0.63292235
2022-06-01,Bronx,LCL/LTD,BX19,Off-Peak,378090.84,2.2577229,0.98909765,0.6700927
2022-06-01,Bronx,LCL/LTD,BX19,Peak,225696.69,2.3340907,0.36919677,0.7077951
2022-07-01,Bronx,LCL/LTD,BX19,Off-Peak,304976.3,1.9776098,0.33925083,0.71263015
2022-07-01,Bronx,LCL/LTD,BX19,Peak,182447.44,1.4885534,-0.56995624,0.79473925
2022-08-01,Bronx,LCL/LTD,BX19,Off-Peak,377425,2.3910012,0.390065,0.6941435
2022-08-01,Bronx,LCL/LTD,BX19,Peak,224854.47,1.6326184,-0.6850166,0.7923797
2022-09-01,Bronx,LCL/LTD,BX19,Off-Peak,324906.8,2.4763477,1.0432411,0.6535432
2022-09-01,Bronx,LCL/LTD,BX19,Peak,192239.64,2.400567,0.864014,0.6661547
2022-10-01,Bronx,LCL/LTD,BX19,Off-Peak,356529.28,2.0762908,0.46543258,0.6965094
2022-10-01,Bronx,LCL/LTD,BX19,Peak,212518.1,2.4558742,0.6526777,0.68509096
2022-11-01,Bronx,LCL/LTD,BX19,Off-Peak,427728.3,1.8675653,0.41678208,0.71100193
2022-11-01,Bronx,LCL/LTD,BX19,Peak,260003.78,1.9790534,0.21178226,0.71743566
2022-12-01,Bronx,LCL/LTD,BX19,Off-Peak,445713.1,2.3315294,0.48331088,0.6861625
2022-12-01,Bronx,LCL/LTD,BX19,Peak,271057.62,2.2420683,0.08281598,0.71308845
2023-01-01,Bronx,LCL/LTD,BX19,Off-Peak,446826.84,1.591804,0.012151946,0.75078213
2023-01-01,Bronx,LCL/LTD,BX19,Peak,276891.03,1.8924726,-0.180981,0.7471397
2023-02-01,Bronx,LCL/LTD,BX19,Off-Peak,410610.44,1.8148551,0.25967455,0.7256564
2023-02-01,Bronx,LCL/LTD,BX19,Peak,249628.03,1.6752323,-0.20735635,0.7653187
2023-03-01,Bronx,LCL/LTD,BX19,Off-Peak,493917,1.7792866,0.5073364,0.71746397
2023-03-01,Bronx,LCL/LTD,BX19,Peak,306603.75,1.950279,0.23854893,0.7311156
2023-04-01,Bronx,LCL/LTD,BX19,Off-Peak,429058.53,1.856249,0.6149165,0.7059284
2023-04-01,Bronx,LCL/LTD,BX19,Peak,272738,1.9002689,0.023684653,0.7479216
2023-05-01,Bronx,LCL/LTD,BX19,Off-Peak,466268.16,2.3588934,1.1597844,0.654031
2023-05-01,Bronx,LCL/LTD,BX19,Peak,301090.75,2.3759344,0.6372864,0.68454653
2023-06-01,Bronx,LCL/LTD,BX19,Off-Peak,460593.1,2.3243716,0.93856543,0.6642993
