month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Bronx,SBS,BX12+,Off-Peak,520522.12,1.7996658,0.44792336,0.7452595
2025-01-01,Bronx,SBS,BX12+,Peak,349059.03,2.6382477,0.4158534,0.7485967
2025-02-01,Bronx,SBS,BX12+,Off-Peak,447201.8,2.0249302,1.062037,0.6815312
2025-02-01,Bronx,SBS,BX12+,Peak,297914.5,2.1600895,1.3197544,0.6677107
2025-03-01,Bronx,SBS,BX12+,Off-Peak,471886.88,2.0837126,1.4083843,0.6451298
2025-03-01,Bronx,SBS,BX12+,Peak,316628.88,1.8973578,1.6308638,0.64069754
2025-04-01,Bronx,SBS,BX12+,Off-Peak,448465.97,2.3921762,1.7647485,0.6086566
2025-04-01,Bronx,SBS,BX12+,Peak,311368.1,2.1561296,1.655351,0.62498564
2025-05-01,Bronx,SBS,BX12+,Off-Peak,438839.66,2.6014874,2.0729568,0.5834142
2025-05-01,Bronx,SBS,BX12+,Peak,306380.4,2.7513025,2.5114703,0.5526355
2025-06-01,Bronx,SBS,BX12+,Off-Peak,433146.6,3.4648886,2.1830363,0.5454433
2025-06-01,Bronx,SBS,BX12+,Peak,300422,3.15875,1.7637364,0.5831652
2025-07-01,Bronx,SBS,BX12+,Off-Peak,432427.16,2.705074,1.4129528,0.613934
2025-07-01,Bronx,SBS,BX12+,Peak,282133.53,2.234434,0.64458,0.6885858
