month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2020-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26419,33136,0.79728997
2020-01-01,Bronx,1,LCL/LTD,BX19,Peak,10222,14847,0.68848926
2020-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11530,13833,0.83351403
2020-01-01,Bronx,2,LCL/LTD,BX19,Peak,4267,5374,0.7940082
2020-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23422,30229,0.7748189
2020-02-01,Bronx,1,LCL/LTD,BX19,Peak,9088,13604,0.6680388
2020-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11781,14452,0.8151813
2020-02-01,Bronx,2,LCL/LTD,BX19,Peak,4365,5450,0.80091745
2020-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,18782,23995,0.78274643
2020-03-01,Bronx,1,LCL/LTD,BX19,Peak,7398,10811,0.68430305
2020-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,5625,6829,0.8236931
2020-03-01,Bronx,2,LCL/LTD,BX19,Peak,2110,2564,0.8229329
2020-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,17396,20061,0.8671552
2020-04-01,Bronx,1,LCL/LTD,BX19,Peak,6246,7786,0.8022091
2020-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4066,4521,0.8993586
2020-04-01,Bronx,2,LCL/LTD,BX19,Peak,1538,1733,0.88747835
2020-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26459,31152,0.8493516
2020-05-01,Bronx,1,LCL/LTD,BX19,Peak,8943,11705,0.7640325
2020-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11308,14042,0.8052984
2020-05-01,Bronx,2,LCL/LTD,BX19,Peak,4186,4962,0.8436114
2020-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,28691,36222,0.7920877
2020-06-01,Bronx,1,LCL/LTD,BX19,Peak,11600,15621,0.7425901
2020-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9625,11795,0.81602377
2020-06-01,Bronx,2,LCL/LTD,BX19,Peak,3431,4214,0.8141908
2020-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26180,33897,0.77233976
2020-07-01,Bronx,1,LCL/LTD,BX19,Peak,10687,14694,0.7273037
2020-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10011,12676,0.7897602
2020-07-01,Bronx,2,LCL/LTD,BX19,Peak,3803,4671,0.81417257
2020-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26207,34197,0.7663538
2020-08-01,Bronx,1,LCL/LTD,BX19,Peak,10639,14795,0.7190943
2020-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11182,14228,0.7859151
2020-08-01,Bronx,2,LCL/LTD,BX19,Peak,4155,5110,0.81311154
2020-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25343,32722,0.77449423
2020-09-01,Bronx,1,LCL/LTD,BX19,Peak,10055,14130,0.7116065
2020-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10394,13123,0.7920445
2020-09-01,Bronx,2,LCL/LTD,BX19,Peak,3652,4657,0.78419584
2020-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,28552,35538,0.8034217
2020-10-01,Bronx,1,LCL/LTD,BX19,Peak,11346,15496,0.73218894
2020-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10417,13108,0.7947055
2020-10-01,Bronx,2,LCL/LTD,BX19,Peak,3839,4740,0.8099156
2020-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25811,31867,0.8099601
2020-11-01,Bronx,1,LCL/LTD,BX19,Peak,9937,13785,0.720856
2020-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11193,14009,0.7989864
2020-11-01,Bronx,2,LCL/LTD,BX19,Peak,3954,5022,0.7873357
2020-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25373,33415,0.7593296
2020-12-01,Bronx,1,LCL/LTD,BX19,Peak,9848,14312,0.6880939
2020-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10030,12659,0.7923217
2020-12-01,Bronx,2,LCL/LTD,BX19,Peak,3667,4558,0.80451953
2021-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23251,28905,0.8043937
2021-01-01,Bronx,1,LCL/LTD,BX19,Peak,9412,12714,0.7402863
2021-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,14272,17154,0.83199257
