month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,5681,6999,0.8116874
2025-01-01,Bronx,1,SBS,BX12+,Peak,2764,3722,0.7426115
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,1624,1930,0.84145075
2025-01-01,Bronx,2,SBS,BX12+,Peak,708,901,0.78579354
2025-02-01,Bronx,1,SBS,BX12+,Off-Peak,4790,6262,0.7649313
2025-02-01,Bronx,1,SBS,BX12+,Peak,2255,3325,0.6781955
2025-02-01,Bronx,2,SBS,BX12+,Off-Peak,1550,2371,0.6537326
2025-02-01,Bronx,2,SBS,BX12+,Peak,723,1081,0.66882515
2025-03-01,Bronx,1,SBS,BX12+,Off-Peak,5156,6961,0.74069816
2025-03-01,Bronx,1,SBS,BX12+,Peak,2489,3723,0.66854686
2025-03-01,Bronx,2,SBS,BX12+,Off-Peak,1894,2444,0.7749591
2025-03-01,Bronx,2,SBS,BX12+,Peak,895,1106,0.8092224
2025-04-01,Bronx,1,SBS,BX12+,Off-Peak,5091,7193,0.7077714
2025-04-01,Bronx,1,SBS,BX12+,Peak,2471,3837,0.6439927
2025-04-01,Bronx,2,SBS,BX12+,Off-Peak,1153,1467,0.78595775
2025-04-01,Bronx,2,SBS,BX12+,Peak,506,671,0.75409836
2025-05-01,Bronx,1,SBS,BX12+,Off-Peak,4814,7019,0.6858527
2025-05-01,Bronx,1,SBS,BX12+,Peak,2292,3791,0.6045898
2025-05-01,Bronx,2,SBS,BX12+,Off-Peak,1778,2429,0.7319885
2025-05-01,Bronx,2,SBS,BX12+,Peak,815,1118,0.7289803
2025-06-01,Bronx,1,SBS,BX12+,Off-Peak,4511,6981,0.6461825
2025-06-01,Bronx,1,SBS,BX12+,Peak,2218,3736,0.59368306
2025-06-01,Bronx,2,SBS,BX12+,Off-Peak,1537,2157,0.71256375
2025-06-01,Bronx,2,SBS,BX12+,Peak,712,993,0.71701914
2025-07-01,Bronx,1,SBS,BX12+,Off-Peak,4687,7203,0.6507011
2025-07-01,Bronx,1,SBS,BX12+,Peak,2332,3811,0.6119129
2025-07-01,Bronx,2,SBS,BX12+,Off-Peak,1656,2267,0.7304808
2025-07-01,Bronx,2,SBS,BX12+,Peak,761,1044,0.7289272
